image_path,room_type
data/dataset_train/dataset_train/coastal/coastal_745.jpg,kitchen
data/dataset_train/dataset_train/coastal/coastal_751.jpg,bedroom
data/dataset_train/dataset_train/coastal/coastal_779.jpg,kitchen
data/dataset_train/dataset_train/coastal/coastal_786.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_962.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_553.jpg,kitchen
data/dataset_train/dataset_train/coastal/coastal_235.jpg,bedroom
data/dataset_train/dataset_train/coastal/coastal_209.jpg,kitchen
data/dataset_train/dataset_train/coastal/coastal_584.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_590.jpg,kitchen
data/dataset_train/dataset_train/coastal/coastal_355.jpg,bathroom
data/dataset_train/dataset_train/coastal/coastal_433.jpg,dining room
data/dataset_train/dataset_train/coastal/coastal_427.jpg,bedroom
data/dataset_train/dataset_train/coastal/coastal_341.jpg,bathroom
data/dataset_train/dataset_train/coastal/coastal_369.jpg,bathroom
data/dataset_train/dataset_train/coastal/coastal_396.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_382.jpg,dining room
data/dataset_train/dataset_train/coastal/coastal_631.jpg,bedroom
data/dataset_train/dataset_train/coastal/coastal_143.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_625.jpg,bathroom
data/dataset_train/dataset_train/coastal/coastal_619.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_36.jpg,bathroom
data/dataset_train/dataset_train/coastal/coastal_194.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_180.jpg,kitchen
data/dataset_train/dataset_train/coastal/coastal_22.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_816.jpg,bathroom
data/dataset_train/dataset_train/coastal/coastal_802.jpg,kitchen
data/dataset_train/dataset_train/coastal/coastal_803.jpg,living room
data/dataset_train/dataset_train/coastal/coastal_817.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_23.jpg,kitchen
data/dataset_train/dataset_train/coastal/coastal_195.jpg,dining room
data/dataset_train/dataset_train/coastal/coastal_618.jpg,bedroom
data/dataset_train/dataset_train/coastal/coastal_624.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_630.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_156.jpg,bedroom
data/dataset_train/dataset_train/coastal/coastal_383.jpg,kitchen
data/dataset_train/dataset_train/coastal/coastal_397.jpg,bedroom
data/dataset_train/dataset_train/coastal/coastal_368.jpg,bathroom
data/dataset_train/dataset_train/coastal/coastal_426.jpg,bathroom
data/dataset_train/dataset_train/coastal/coastal_354.jpg,kitchen
data/dataset_train/dataset_train/coastal/coastal_432.jpg,bathroom
data/dataset_train/dataset_train/coastal/coastal_591.jpg,bathroom
data/dataset_train/dataset_train/coastal/coastal_585.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_208.jpg,bedroom
data/dataset_train/dataset_train/coastal/coastal_234.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_977.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_963.jpg,bedroom
data/dataset_train/dataset_train/coastal/coastal_787.jpg,kitchen
data/dataset_train/dataset_train/coastal/coastal_778.jpg,bathroom
data/dataset_train/dataset_train/coastal/coastal_988.jpg,bathroom
data/dataset_train/dataset_train/coastal/coastal_750.jpg,kitchen
data/dataset_train/dataset_train/coastal/coastal_746.jpg,living room
data/dataset_train/dataset_train/coastal/coastal_949.jpg,kitchen
data/dataset_train/dataset_train/coastal/coastal_975.jpg,bathroom
data/dataset_train/dataset_train/coastal/coastal_961.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_236.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_550.jpg,kitchen
data/dataset_train/dataset_train/coastal/coastal_544.jpg,bathroom
data/dataset_train/dataset_train/coastal/coastal_222.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_578.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_342.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_424.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_430.jpg,kitchen
data/dataset_train/dataset_train/coastal/coastal_356.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_418.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_395.jpg,bathroom
data/dataset_train/dataset_train/coastal/coastal_626.jpg,kitchen
data/dataset_train/dataset_train/coastal/coastal_140.jpg,kitchen
data/dataset_train/dataset_train/coastal/coastal_632.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_168.jpg,kitchen
data/dataset_train/dataset_train/coastal/coastal_21.jpg,bathroom
data/dataset_train/dataset_train/coastal/coastal_183.jpg,bedroom
data/dataset_train/dataset_train/coastal/coastal_197.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_35.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_829.jpg,bedroom
data/dataset_train/dataset_train/coastal/coastal_801.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_815.jpg,bathroom
data/dataset_train/dataset_train/coastal/coastal_814.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_800.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_196.jpg,bathroom
data/dataset_train/dataset_train/coastal/coastal_828.jpg,kitchen
data/dataset_train/dataset_train/coastal/coastal_34.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_155.jpg,bathroom
data/dataset_train/dataset_train/coastal/coastal_627.jpg,bathroom
data/dataset_train/dataset_train/coastal/coastal_141.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_394.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_380.jpg,bedroom
data/dataset_train/dataset_train/coastal/coastal_419.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_431.jpg,kitchen
data/dataset_train/dataset_train/coastal/coastal_357.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_343.jpg,kitchen
data/dataset_train/dataset_train/coastal/coastal_425.jpg,home office
data/dataset_train/dataset_train/coastal/coastal_586.jpg,living room
data/dataset_train/dataset_train/coastal/coastal_592.jpg,bathroom
